"","word","spaced_word"
"420","해태생부터","해태생부터"
"421","있어도스트레스","있어도 스트레스"
"422","나는많은","나는 많은"
"423","않았어그래도","않았어 그래도"
"424","없어근데","없어 근데"
"425","불필요한","불필요한"
"426","있어그사람들은","있어 그 사람들은"
"427","아니고그냥","아니고 그냥"
"428","하는데왜","하는데 왜"
"429","자기들이","자기들이"
"430","표현해도","표현해도"
"431","받아쳐주질","받아쳐 주질"
"432","했어근데","했어 근데"
"433","빠지고그들이랑","빠지고 그들이랑"
"434","친구관계","친구 관계"
"435","않았는데도그들이","않았는데도 그들이"
"436","들어야되지만나한테는","들어야 되지만 나한테는"
"437","스트레스","스트레스"
"438","싶을정도로사람이랑","싶을 정도로 사람이랑"
"439","스트레스","스트레스"
"440","받아이걸","받아 이걸"
"441","반복하고왜","반복하고 왜"
"442","포용할정도로","포용할 정도로"
"443","학사경고","학사경고"
"444","때만해도","때만 해도"
"445","아너무우울해","아너무 우울해"
"446","처음하는데","처음 하는 데"
"447","전화주문","전화 주문"
"448","포스기로","포스기로"
"449","배달대행","배달대행"
"450","개개개개바쁜데","개개 개개 바쁜 데"
"451","가능한거","가능한 거"
"452","안들때미리","안들 때 미리"
"453","것을하고","것을 하고"
"454","스트레스","스트레스"
"455","받아자존감도","받아 자존감도"
"456","기분이야이거","기분이야 이거"
"457","극복하지지금","극복하지 지금"
"458","해야할게","해야 할 게"
"459","빠져드는","빠져드는"
"460","구렁텅이","구렁텅이"
"461","허무하네학교에","허무하네 학교에"
"462","있을의미붙이기가이렇게","있을 의미 붙이기가 이렇게"
"463","처음이네지금껏","처음이네 지금껏"
"464","그랬구나지금까지","그랬구나 지금까지"
"465","자신에게너무나","자신에게 너무나"
"466","미안하네미안해그리고사랑","미안하네미안해 그리고 사랑"
"467","예쁜여자가","예쁜 여자가"
"468","커플비율","커플 비율"
"469","새새끼리","새 새끼리"
"470","어디놀러가는것같아요","어디 놀러 가는 것 같아요"
"471","새새친구","새 새 친구"
"472","새새애들이","새 새애들이"
"473","그친구에게","그 친구에게"
"474","라하니깐","라하니깐"
"475","2명정도는","2명 정도는"
"476","외톨이가된","외톨이가 된"
"477","한동와서","한동와서"
"478","않은대학이구나","않은 대학이구나"
"479","한동인을","한동인을"
"480","동물이래","동물이래"
"481","내향적인사람","내향적인 사람"
"482","순순하게","순순하게"
"483","시키는거","시키는 거"
"484","못하는걸","못하는 걸"
"485","다른사람이","다른 사람이"
"486","민폐끼치는것처럼","민폐끼치는 것처럼"
"487","큰일날거같고","큰일 날 거 같고"
"488","착한학생","착한 학생"
"489","착한거도","착한 거도"
"490","느끼는거","느끼는 거"
"491","고등학교","고등학교"
"492","공동체정신","공동체 정신"
"493","합심해서","합심해서"
"494","지워지질","지워지질"
"495","부족해서","부족해서"
"496","고등학교","고등학교"
"497","별일아닌","별일 아닌"
"498","사소한일에도","사소한 일에도"
"499","함께있다는","함께 있다는"
"500","벽에대고","벽에 대고"
"501","생각1정시","생각 1정시"
"502","1013학번","1013 학번"
"503","건동홍1418학번문과","건동홍 1418학번 문과"
"504","국숭1920학번문이과모두","국숭 1920학번 문이과 모두"
"505","광명상가예측임다군에","광명상가 예측임 다군에"
"506","탐구과목","탐구과목"
"507","정시비율","정시 비율"
"508","20프로를","20 프로를"
"509","못할때였고2수시1013학번최저","못할 때였고 2수시 1013 학번 최저"
"510","2등급이내1415학번최저","2등급 이내 1415학번 최저"
"511","3등급이내16학번없음예전에","3등급 이내 16학번 없음예전에"
"512","등급이아마","등급이 아마"
"513","1점후반대였던걸로","1점 후반대였던 걸로"
"514","불리던부산대2개","불리던 부산대 2개"
"515","경북대3개","경북대 3개"
